Letter,Letter_URL,Num,Title,Image_URL,by_VG
let294,https://vangoghletters.org/vg/letters/let294/letter.html,2421,"Vincent van Gogh - Man, standing, reading a book (F 1683 / JH 279)",https://vangoghletters.org/vg/illustrations/2421.jpg,True
let294,https://vangoghletters.org/vg/letters/let294/letter.html,2422,Vincent van Gogh - Prayer before the meal (F 1002 / JH 281),https://vangoghletters.org/vg/illustrations/2422.jpg,True
let294,https://vangoghletters.org/vg/letters/let294/letter.html,2417,Vincent van Gogh - ‘At eternity’s gate’ (F 1662 / JH 268),https://vangoghletters.org/vg/illustrations/2417.jpg,True
let257,https://vangoghletters.org/vg/letters/let257/letter.html,2385,Vincent van Gogh - Dunes (F 2a / JH 176),https://vangoghletters.org/vg/illustrations/2385.jpg,True
let257,https://vangoghletters.org/vg/letters/let257/letter.html,2383,Vincent van Gogh - Beach with fishing boats (F 2 / JH 173),https://vangoghletters.org/vg/illustrations/2383.jpg,True
let257,https://vangoghletters.org/vg/letters/let257/letter.html,280,Jean-François Millet - Young peasant of Barbizon,https://vangoghletters.org/vg/illustrations/280.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,202,Jozef Israëls - The painter J.H. Weissenbruch,https://vangoghletters.org/vg/illustrations/202.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,1939,Hendrik Willem Mesdag - Waterfall at Trolhetta (Norway),https://vangoghletters.org/vg/illustrations/1939.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,195,Jozef Israëls - Children at the pig-sty,https://vangoghletters.org/vg/illustrations/195.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,335,Anthon Gerard Alexander van Rappard - Weaver,https://vangoghletters.org/vg/illustrations/335.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,337,Rembrandt van Rijn - The anatomy lesson of Dr Joan Deyman,https://vangoghletters.org/vg/illustrations/337.jpg,False
let257,https://vangoghletters.org/vg/letters/let257/letter.html,191,Jozef Israëls - Mother Jopje in her dwelling ('Interior'),https://vangoghletters.org/vg/illustrations/191.jpg,False
let531,https://vangoghletters.org/vg/letters/let531/letter.html,2152,Léon Augustin Lhermitte - Wild strawberries,https://vangoghletters.org/vg/illustrations/2152.jpg,False
let531,https://vangoghletters.org/vg/letters/let531/letter.html,2153,Léon Augustin Lhermitte - Evening on the river,https://vangoghletters.org/vg/illustrations/2153.jpg,False
let531,https://vangoghletters.org/vg/letters/let531/letter.html,331,Anthon Gerard Alexander van Rappard - Workers at the Ruimzicht brickyard,https://vangoghletters.org/vg/illustrations/331.jpg,False
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2513,Vincent van Gogh - The cottage (F 83 / JH 777),https://vangoghletters.org/vg/illustrations/2513.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,3025,Vincent van Gogh - Cottage and woman with a goat (F 90 / JH 823),https://vangoghletters.org/vg/illustrations/3025.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2520,Vincent van Gogh - Cottage with a man coming home (F 170 / JH 824),https://vangoghletters.org/vg/illustrations/2520.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2517,Vincent van Gogh - Cottage with woman digging (F 89 / JH 803),https://vangoghletters.org/vg/illustrations/2517.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,951,Francis Montague Holl - Sight seeing – A study from nature at Mortlake,https://vangoghletters.org/vg/illustrations/951.jpg,False
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2471,Vincent van Gogh - The old tower (F 88 / JH 490),https://vangoghletters.org/vg/illustrations/2471.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2490,Vincent van Gogh - Water mill at Gennep (F 125 / JH 525),https://vangoghletters.org/vg/illustrations/2490.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2483,Vincent van Gogh - Ploughman and a woman planting potatoes (F 172 / JH 514),https://vangoghletters.org/vg/illustrations/2483.jpg,True
let519,https://vangoghletters.org/vg/letters/let519/letter.html,2488,Vincent van Gogh - Avenue of poplars in autumn (F 122 / JH 522),https://vangoghletters.org/vg/illustrations/2488.jpg,True
let082,https://vangoghletters.org/vg/letters/let082/letter.html,1768,Philip Lodewijck Jacob Frederik Sadée - After the departure. Beach at Scheveningen (Holland) (1875),https://vangoghletters.org/vg/illustrations/1768.jpg,False
let900,https://vangoghletters.org/vg/letters/let900/letter.html,2319,Jean Baptiste Camille Corot - Souvenir of Nemi. Rocks and shrubs,https://vangoghletters.org/vg/illustrations/2319.jpg,False
let041,https://vangoghletters.org/vg/letters/let041/letter.html,1730,Paul (Hippolyte) Delaroche - Good Friday (1856),https://vangoghletters.org/vg/illustrations/1730.jpg,False
let041,https://vangoghletters.org/vg/letters/let041/letter.html,66,Ferdinand Victor Eugène Delacroix - The entry of the crusaders into Constantinople (12 April 1204),https://vangoghletters.org/vg/illustrations/66.jpg,False
let041,https://vangoghletters.org/vg/letters/let041/letter.html,1731,Ary Scheffer - Saint Augustine and Saint Monica (1854),https://vangoghletters.org/vg/illustrations/1731.jpg,False
let055,https://vangoghletters.org/vg/letters/let055/letter.html,1714,Jules Adolphe Aimé Louis Breton - The blessing of the corn in Artois,https://vangoghletters.org/vg/illustrations/1714.jpg,False
let055,https://vangoghletters.org/vg/letters/let055/letter.html,1715,Jules Adolphe Aimé Louis Breton - Calling home the gleaners,https://vangoghletters.org/vg/illustrations/1715.jpg,False
let055,https://vangoghletters.org/vg/letters/let055/letter.html,1716,Jules Adolphe Aimé Louis Breton - Evening,https://vangoghletters.org/vg/illustrations/1716.jpg,False
let055,https://vangoghletters.org/vg/letters/let055/letter.html,1747,Gustave Brion - The end of the flood (Noah),https://vangoghletters.org/vg/illustrations/1747.jpg,False
let055,https://vangoghletters.org/vg/letters/let055/letter.html,1748,Gustave Brion - The pilgrims of Sainte-Odile (Alsace),https://vangoghletters.org/vg/illustrations/1748.jpg,False
